Date,Open,High,Low,Close,Change (Pips)
"Jun 16, 2020 00:00",74.264,75.093,73.323,73.933,-33.1
"Jun 15, 2020 00:00",73.401,74.343,72.652,74.265,+86.4
"Jun 12, 2020 00:00",73.249,74.302,72.528,73.746,+49.7
"Jun 11, 2020 00:00",74.954,75.036,73.082,73.243,-171.1
"Jun 10, 2020 00:00",74.995,75.613,74.722,74.971,-2.4
"Jun 09, 2020 00:00",76.122,76.272,74.47,74.999,-112.3
"Jun 08, 2020 00:00",76.267,76.789,75.558,76.116,-15.1
"Jun 05, 2020 00:00",75.767,76.743,75.588,76.327,+56.0
"Jun 04, 2020 00:00",75.363,76.206,74.86,75.784,+42.1
"Jun 03, 2020 00:00",74.942,75.762,74.403,75.387,+44.5
"Jun 02, 2020 00:00",73.13,74.973,72.928,74.956,+182.6
"Jun 01, 2020 00:00",71.656,73.191,71.606,73.133,+147.7
"May 29, 2020 00:00",71.42,71.931,71.137,71.867,+44.7
"May 28, 2020 00:00",71.333,71.781,71.016,71.43,+9.7
"May 27, 2020 00:00",71.523,71.924,70.811,71.348,-17.5
"May 26, 2020 00:00",70.464,71.78,70.39,71.575,+111.1
"May 25, 2020 00:00",70.225,70.576,70.193,70.496,+27.1
"May 22, 2020 00:00",70.639,70.799,69.94,70.332,-30.7
"May 21, 2020 00:00",70.912,71.085,70.495,70.651,-26.1
"May 20, 2020 00:00",70.389,71.029,70.265,70.962,+57.3
"May 19, 2020 00:00",69.972,70.96,69.874,70.402,+43.0
"May 18, 2020 00:00",68.713,70.072,68.642,70.011,+129.8
"May 15, 2020 00:00",69.282,69.535,68.679,68.756,-52.6
"May 14, 2020 00:00",69.07,69.396,68.548,69.285,+21.5
"May 13, 2020 00:00",69.31,69.762,68.89,69.102,-20.8
"May 12, 2020 00:00",69.839,70.156,69.138,69.342,-49.7
"May 11, 2020 00:00",69.537,70.172,69.378,69.845,+30.8
"May 08, 2020 00:00",69.024,69.726,68.991,69.66,+63.6
"May 07, 2020 00:00",67.887,69.156,67.628,69.03,+114.3
"May 06, 2020 00:00",68.429,68.622,67.859,67.953,-47.6
"May 05, 2020 00:00",68.546,68.985,68.456,68.538,-0.8
"May 04, 2020 00:00",68.454,68.711,67.99,68.576,+12.2
"May 01, 2020 00:00",69.749,69.79,68.498,68.639,-111.0
"Apr 30, 2020 00:00",69.911,70.168,69.24,69.798,-11.3
"Apr 29, 2020 00:00",69.351,69.914,69.279,69.906,+55.5
"Apr 28, 2020 00:00",69.21,69.561,69.029,69.368,+15.8
"Apr 27, 2020 00:00",68.515,69.381,68.515,69.323,+80.8
"Apr 24, 2020 00:00",68.47,68.747,68.212,68.747,+27.7
"Apr 23, 2020 00:00",68.103,69.008,67.749,68.554,+45.1
"Apr 22, 2020 00:00",67.606,68.474,67.575,68.11,+50.4
"Apr 21, 2020 00:00",68.189,68.357,67.291,67.693,-49.6
"Apr 20, 2020 00:00",68.336,68.891,68.177,68.182,-15.4
"Apr 17, 2020 00:00",68.271,68.947,68.073,68.426,+15.5
"Apr 16, 2020 00:00",67.825,68.241,67.59,68.23,+40.5
"Apr 15, 2020 00:00",69.06,69.064,67.581,67.874,-118.6
"Apr 14, 2020 00:00",68.736,69.262,68.503,69.064,+32.8
"Apr 13, 2020 00:00",68.731,68.971,68.335,68.784,+5.3
"Apr 10, 2020 00:00",68.718,69.028,68.478,68.817,+9.9
"Apr 09, 2020 00:00",67.801,68.872,67.489,68.764,+96.3
"Apr 08, 2020 00:00",67.086,67.931,66.478,67.789,+70.3
"Apr 07, 2020 00:00",66.473,67.672,66.368,67.116,+64.3
"Apr 06, 2020 00:00",65.137,66.602,64.868,66.488,+135.1
"Apr 03, 2020 00:00",65.337,65.612,64.832,65.01,-32.7
"Apr 02, 2020 00:00",65.08,65.621,64.389,65.364,+28.4
"Apr 01, 2020 00:00",65.965,66.355,64.866,65.092,-87.3
"Mar 31, 2020 00:00",66.408,67.27,65.579,66.01,-39.8
"Mar 30, 2020 00:00",66.253,66.641,65.732,66.514,+26.1
"Mar 27, 2020 00:00",66.368,66.929,65.479,66.56,+19.2
"Mar 26, 2020 00:00",66.261,66.591,64.909,66.422,+16.1
"Mar 25, 2020 00:00",66.246,67.709,65.928,66.273,+2.7
"Mar 24, 2020 00:00",64.852,66.337,64.583,66.254,+140.2
"Mar 23, 2020 00:00",64.231,64.82,62.92,64.799,+56.8
"Mar 20, 2020 00:00",63.588,65.628,62.776,64.307,+71.9
"Mar 19, 2020 00:00",62.316,65.537,59.89,63.56,+124.4
"Mar 18, 2020 00:00",64.575,64.87,61.677,62.382,-219.3
"Mar 17, 2020 00:00",64.775,65.825,63.918,64.527,-24.8
"Mar 16, 2020 00:00",65.708,67.366,64.046,64.805,-90.3
"Mar 13, 2020 00:00",65.243,67.745,65.181,66.729,+148.6
"Mar 12, 2020 00:00",67.776,67.96,65.043,65.198,-257.8
"Mar 11, 2020 00:00",68.698,68.783,67.621,67.735,-96.3
"Mar 10, 2020 00:00",67.398,68.989,67.05,68.801,+140.3
"Mar 09, 2020 00:00",68.813,69.178,64.208,67.428,-138.5
"Mar 06, 2020 00:00",70.194,70.422,69.578,69.991,-20.3
